Title,Artist,Year,Popularity,Duration (s),Tempo (bpm)
Don't Blame Me,Timi Yuro,1961,0,131.5522,119.549
You Are,Fat Jon,2004,0.499098881,190.48444,96.001
The First Queer Santy Claus (Album Version),Larry The Cable Guy,2004,0,14.54975,57.066
Help Is On Its Way,Little River Band,1980,nan,241.57995,107.141
Green Love,Hilt,1991,nan,325.45914,163.707
Mémoire de singes,LOFOFORA,2007,0.323112121,224.31302,125.258
Ramesses II,Ramesses,2004,0.492874143,294.66077,69.09
Forget About It,Alison Krauss,1999,0.582698987,208.50893,183.641
Logan Braes,Deaf Shepherd,1996,0,294.16444,91.615
Ja,Tocotronic,2000,0.480934213,230.16444,145.575
Flicker,Claire Voyant,2009,0.456949544,370.41587,110.005
Call Me Old-fashoined_ But I Think Trains Are Kick-ass.,The Great Redneck Hope,2004,nan,51.06893,106.053
I'm Going To Cry Right Out Of My Mind,Linda Hopkins,2008,nan,144.48281,157.214
I'm On The Lamb But I Ain't No Sheep,Blue Oyster Cult,1972,nan,190.48444,125.707
Done Me Wrong All Right,Sweet,1973,0.487112195,175.49016,80.29
In hell,MYSTIC PROPHECY,2005,nan,213.36771,164.941
Inquisition,Uli Jon Roth,2008,nan,68.80608,103.53
Quickdraw,67 Special,2007,nan,162.08934,164.346
Racist Friend,The Special AKA,1984,nan,225.04444,159.082
Indian Gown,Whiskeytown,2008,0.569275651,286.22322,168.884
Either Way I Think You Know,Minor Majority,2010,0.400039657,278.88281,140.003
Motorcycle Angels,Kid Loco,2008,nan,258.55955,125.001
Cannot Forgive,Dubioza kolektiv,2004,0.386477291,274.52036,159.992
El Shaddai,Ben Tankard,1994,0,240.84853,85.223
I Wanna Sleep In Your Arms,The Feelies,1980,0.491336585,117.7073,94.817
Where The Party At,Jagged Edge featuring Jermaine Dupri_ Da Brat_ R.O.C._ Lil Bow Wow and Tigah,2001,nan,232.69832,94.79
Flying,Matthew Sweet,2008,nan,261.74649,147.307
Our World Now,Coffin Break,1992,nan,208.48281,176.096
Beautiful Regret,Garou,2008,0.554452304,209.89342,80.332
What Can I Give You,Margo Guryan,1968,0.65429173,151.77098,120.993
Why Does The Sun Come Up?,The Coral,2004,0.5746246,38.63465,94.506
The Good People Of Everywhere,Her Space Holiday,2005,0.64745421,285.41342,200.057
Promises,All Shall Persih,2006,0.724152246,182.36036,95.226
Sleveless,The Wellwater Conspiracy,1997,nan,198.24281,119.712
Probably,Claw Boys Claw,1997,nan,213.2371,94.318
Sao Loucas,La Rue Kétanou,2002,0.650419669,280.92036,96.952
Snowden (Rich Costey Mix),Doves,2005,0.544514002,252.682,127.128
Cry Me One Tear,Grayson Capps,2006,nan,189.85751,88.093
No More Seances,Cliff Eidelman,1995,0,106.37016,81.869
Animal,Dag För Dag,2010,0.496175336,179.93098,149.066
Put 'Em High,StoneBridge feat. Therese,2003,nan,329.89995,146.956
Rip Van Winkle,Ella Mae Morse,1981,nan,180.1922,138.587
NOT,QPE,2002,nan,39.28771,65.477
Quiet Men,Ultravox!,1978,nan,238.05342,135.64
The News,Carbon Silicon,2007,nan,369.99791,139.013
Sorrowful Farewell,Rotting Christ,2007,0.697863961,291.13424,136.165
Slap On,The Emperor Machine,2008,0.299877488,398.49751,108.988
Dreamer's Battlefield,Atomic Swing,2006,0.355285536,204.48608,143.908
Silver Screen,Ornette Coleman;London Symphony Orchestra,1972,0.400039657,70.53016,174.889
La Fille D'Avril,Laurent Voulzy,2001,nan,244.84526,93.364
Prisoner Echoes,Strike Anywhere,2006,0.611655408,157.57016,208.992
Breakdown,Toby Tobias,2008,nan,374.54322,59.47
Next Levels,King Geedorah,2008,nan,227.05587,92.916
Just A Man (Ellen Allien Version),Audion,2006,0.400039657,456.4371,124.978
Educate To Emancipate,Nucleus Roots,2004,0.266300749,236.56444,142.996
Prisoner Of War,220 Volt,1997,nan,197.22404,144.002
Hotel y domicilio,Rafa Pons,2007,0.360370583,251.71546,145.377
Perdon,The Monas,2000,0,191.65995,121.927
Cars Eat With Auto Face,Inner City Unit,1982,0.249065795,284.47302,145.601
Split (Album Version),Betzefer,2005,nan,245.26322,155.937
Unforced Peace (written by Roky Erickson),Elf Power,2002,0.334706549,144.16934,106.3
With A Twist  (LP Version),Mike Stern,1996,0.462643183,399.77751,156.065
Veins,Archive,2006,nan,241.24036,89.036
Heartbeat / Dragon,Jake Shimabukuro,2006,0.508801328,240.63955,148.501
Mood Music,Immortal Technique Presents: Akir,2006,0.508683073,279.06567,187.809
Tää on rankkaa,Yölintu,2002,nan,174.21016,213.233
The Mirror Phase,Damon And Naomi,2000,0.499445835,279.40526,95.614
El Cigarrito,Joan Manuel Serrat,2000,0.372530039,177.03138,164.24
I Wanna Get To Ya,Billy Gilman,2000,0.541680563,217.10322,130.592
Panis Angelicus,Celtic Woman,2006,0.454192988,237.71383,113.725
Temptation,Y&T,1987,0.542898743,266.47465,151.729
You (Make My Life Come True),The Roches,1995,0.334706549,331.93751,90.986
Home Again,Beach House,2008,0.721904247,248.842,110.203
Don Quixote,Charlie Haden_ Egberto Gismonti,2001,0.212045405,721.81506,68.828
Predominio del Sol,Nueva Vulcano,2007,0.60553085,178.23302,172.039
Mein Schatten (Na_ Na_ Na_ Du Bandit_ Du),Joachim Witt,1980,0.299877488,241.13587,137.83
Sound The Trumpet,Sizzla,2004,0.265861049,210.99057,132.295
Vespers Song,Hydrogyn,2006,nan,260.33587,125.99
Not Like You,Lifer,2001,0.583566126,238.39302,162.807
Xmas Halftime,Lewis Black,2008,0.508801328,185.18159,80.943
Keep Quiet (LP Version),BarlowGirl,2007,0.301697262,297.29914,155.9
Hey Blue,Countach,2007,nan,318.87628,135.057
Estoy Pensando En Tí,Sonora Santanera,2003,nan,167.52281,106.066
Solo Per Te,Articolo 31,1993,0.499098881,366.65424,179.839
Ashtray Monument,Jawbreaker,1994,nan,184.65914,166.255
Fun Park Fugitives,Darren Hanlon,2000,0.215080319,222.06649,80.662
Ugly Town,Redd Kross,1997,0.445454525,190.4322,129.604
Cathedral Song,Renato Russo,1994,nan,176.06485,125.594
Work It Out,Beyoncé,2002,0.789115314,246.07302,57.994
Waiting 4,Peter Gelderblom,2007,nan,333.53098,89.38
The Return,Transmission0,2004,nan,370.41587,123.58
Fronteras De America (Demo),Los Pericos,1988,nan,224.7571,111.144
Ne Te Tue Pas,Don Choa,2007,nan,193.41016,180.027
Track Three,The Gaslamp Killer,2009,0.575482958,287.03302,163.56
Church Intro,Klashnekoff,2010,0.323112121,254.01424,164.113
Jaded,The Crystal Method,1997,0.635783106,425.61261,73.345
Lament For A Hero,Dagda,1999,nan,187.6371,120.031
L'Homme,Marcel Kanche,1992,nan,111.25506,94.354
Ain't That Peculiar,Grassella Oliphant Quartet,1968,nan,171.04934,140.145
Crying In The Chapel,The Orioles,1962,0.636370902,183.58812,67.566
You Can Come Right Back To Me,David Ruffin,2003,nan,184.94649,119.186
The Lord (Album Version),Bee Gees,1970,0.360370583,138.78812,141.836
Fadeaway,BoDeans,1986,0.573607057,264.51546,167.829
Trouble In Mind,Jimmy Witherspoon,1960,nan,141.66159,149.352
Drinking Blues,Lucille Bogan,1994,0.290297619,176.66567,89.11
Teen Scream Machine,Don Diablo,2010,nan,286.85016,128.006
The Queen Of Argyll,Silly Wizard,1983,nan,205.94893,182.673
Orchid,Black Sabbath,1971,nan,98.19383,135.748
At the Edge,Allan Holdsworth,1992,0,198.00771,93.089
United,Medeski Martin & Wood,1992,0.513189736,510.6673,81.699
Short Breath,A. Skillz & Krafty Kuts,2004,nan,90.46159,122.633
Something Worth Fighting For,Carrie Newcomer,1998,0.236369208,138.4224,115.033
Happy Accidents,Belief Systems,2003,nan,504.47628,130.914
Basher,Slightly Stoopid,2005,0.778013279,231.44444,82.919
Waste My time,Ras Shiloh,2007,0.323112121,227.89179,87.692
Marlene On The Wall,Suzanne Vega,1985,0.788278099,219.58485,112.505
Heaven Knows,Luther Vandross,1993,nan,264.56771,106.996
Hold Me In The River,Brakes,2006,0.509640966,120.37179,150.411
Make It Last Forever (Album),Lisa Scott-Lee,2007,0.516396407,268.87791,130.031
Them vs. You vs. Me,Finger Eleven,2007,0.666746963,252.44689,114.156
Tune Up,Wes Montgomery,1991,nan,306.36363,129.126
Man With The Movie Camera,The Cinematic Orchestra,2002,nan,485.98159,140.824
Daddy Cruel,PUNGENT STENCH,1991,nan,211.82649,181.723
Gloom,Slut,2002,0,274.88608,106.963
Ali Mcbills (Robert Johnson 6am X-ray Italo Rework),Jahcoozi,2007,nan,564.71465,126.001
Hope,The House Of Love,1988,0.608014705,181.26322,82.705
Damn You,Hanna Pakarinen,2005,0.424090811,257.4624,163.936
Les Rablablas_ Les Roubliblis,Les Négresses Vertes,2001,0.394394856,269.66159,115.828
Ysabel's Table Dance,Charles Mingus,1962,nan,626.07628,183.031
Fruta Bomba,Jovenes Clasicos Del Son,1998,nan,309.7073,104.017
True To me,Metro Station,2007,0.830363464,172.43383,150.035
Scrambling To Stay Ahead,Kenji Williams,2005,0.204255025,457.35138,199.78
Shit is Real,Tech N9ne,2008,0.553778846,222.98077,163.972
Cruising Down The Highway,The Gruesome Twosome (DJ Morpheus+Bertrand Burgalat),1993,0,250.85342,134.827
Stay Free,Kingmaker,1993,0.427582886,192.13016,91.512
There's A Crack In Everything,Kammerflimmer Kollektief,2010,0.515357179,376.97261,91.29
Do That to Me One More Time,Freddie Jackson,2005,nan,242.1024,165.933
Screen Door,Uncle Tupelo,1990,nan,163.60444,106.419
They Sleep Together Now At Rest,The Lilly Brothers,1974,0.265861049,191.68608,90.236
Kelly From Killan / The Teetotaler,Damien Dempsey,2008,0.299877488,338.85995,178.227
Reverse,KALYLIVEDUB,2002,0.425124658,308.68853,167.865
Praise,Screaming Mechanical Brain,2006,0.266955186,79.67302,80.092
It's All Over,Jamie Dee,1994,nan,240.22159,136.177
Around The World (LP Version),Jo Jo Gunne,1974,0,240.45669,152.444
"Big Noise From Winnetka (Studio Version aka 12"" Mix)",Bette Midler,1979,0.495488634,415.63383,132.607
Step By Step,Open Season,2006,0.413752422,175.35955,143.971
Draco,Counterstrike,2006,0.655512662,386.61179,129.718
A Letter To Tracy,Keb' Mo',1998,nan,250.38322,94.531
I'll Still Be Looking,Candy Dulfer,1995,0,287.03302,120.708
Look Out For Yourself,Peter Green Splinter Group,2008,0.212045405,270.75873,133.607
Romeo's Fate (Featuring Mark Bell),Sylk 130,2001,0.212045405,261.77261,108.971
Lone Justice,Anthrax,1985,0.831451386,276.94975,194.904
Lullaby,Liam Finn,2007,nan,136.93342,67.968
V-At,Tarwater,1998,0.428702263,242.75546,80.687
El Deseo,Los Amantes De Lola,2001,0.334706549,205.53098,94.167
Bulles de printemps,Plume Latraverse,2008,nan,188.9171,86.898
Kiss Me You Fool,The Northern Pikes,1990,0.489954316,264.22812,123.925
Cold Condition,Edison Glass,2008,nan,217.62567,160.086
G.L.C.,The Members,1979,0.375984302,141.92281,189.281
Playboys Of The Southwestern World (Album Version),Blake Shelton,2003,0.478726288,268.35546,146.042
Circle,Micatone,2005,0.50254434,319.76444,100.105
I Am the Wench's Bane,Mael Mórdha,2005,0.488913883,261.11955,128.959
Red Star,Musetta,2007,nan,412.21179,0
The PJs,Pete Rock,2008,0.485122364,284.08118,98.514
Ny & Naken,Halvdan Sivertsen,1996,nan,269.06077,103.885
Harald,Gerhard Schöne,1998,0.215080319,321.2273,100.317
Amor Luz,Maria de Barros,2008,0.413739836,254.06649,183.981
Dead Eyes Opened,Severed Heads,1988,nan,390.13832,132.132
Uma Mulher Da Vida,Clã,2004,0.417313803,169.56036,156.21
Dingledoodies,Chocolate Overdose,1999,0,232.85506,85.243
Changing of the Guard (Album Version),Parts & Labor,2006,0.377531645,310.43873,94.562
Rey Sombra,Los Planetas,1994,0.636998603,261.72036,139.257
Street Of Dreams,Guns N' Roses,2008,0.71689596,286.32771,85.037
False Security,Articles Of Faith,1982,0.545275822,263.57506,175.597
Deep Blue Eee,Seismic Anamoly,2003,nan,254.77179,116.047
Grand Canyon (Ada's 1st Dub),Tracey Thorn,2007,0.319565987,458.1873,124.999
Sculpture,Skalpel,2000,0.666878291,291.16036,164.56
Sing Sing Prison Blues,Bessie Smith,1990,nan,183.06567,81.476
A Tisket A Tasket,Django Reinhardt;Quintette Du Hot Club de France,2001,nan,184.60689,40.389
Too High A Price,The Doobie Brothers,1989,0.372530039,251.61098,107.11
Two Is A Couple,Ike And Tina Turner,1994,nan,146.52036,90.389
Wild Frontier,Gary Moore,1987,nan,254.04036,130.565
Only the Strong Survive,War Of Ages,2005,0.620927227,223.18975,130.312
Judgement Day,Carlene Carter,2008,0,267.33669,78.016
Comforter,Shai,1992,0.703237981,250.5922,121.868
All Come To Meet Her,Alexander 'Skip' Spence,1969,0.579261513,121.10322,147.46
Sing About Love,Foghat,1981,0.405115722,216.13669,138.992
Stand Up And Shout,Dio,1983,0.70605444,199.81016,145.839
MODUL 12 II,Nik Bärtsch's Mobile,2001,nan,481.802,123.779
Taught Me Well,Alice Peacock,2006,0.460484845,265.50812,76.388
Even A Fool Can See (Album Version),Peter Cetera,1992,0.484907258,271.41179,119.63
Hasta Luego_ My Love (Album Version),David Ball,1999,0.313562114,206.05342,116.42
Fuck It Man,Mellowdrone,2006,0.643625149,230.26893,85.093
Way Back Home,Jr. Walker & The All Stars,1971,nan,247.01342,92.485
Lough Erin Shore ( MTV Unplugged Version ),The Corrs,2001,0,256.13016,151.657
Division,Anacrusis,1993,0.570568777,277.002,216.207
Gazelle,Fairmont,2005,0.413739836,372.34893,119.999
Main Title,Jerry Goldsmith,1966,0.323112121,214.09914,150.682
If They Move Kill 'Em,Primal Scream,1997,0.730743831,181.34159,104.927
She's All That,Sugarplum Fairy,2004,0.419674279,177.08363,147.355
Ringo,Lorne Greene,1988,0.572920148,213.49832,110.83
His Love,Famous L. Renfroe,2008,nan,187.45424,73.917
Hommage,Patrick Watson,2009,0.711957076,124.13342,117.922
Remains of a Shattered Illusion,Within Y,2004,0.215080319,267.28444,161.553
The Island,Galaxy,1998,nan,347.37587,145.027
Song Of The New Moon,Chuck Mangione,1975,0.334706549,398.54975,125.284
Sacred Metal,The Eighties Matchbox B-Line Disaster,2003,0,246.69995,170.318
Gun,Uncle Tupelo,1991,0.773959677,221.43955,135.904
Linoleum,NOFX,1994,0.808876149,130.32444,197.436
The Cherry Tree Carol,Anonymous 4,2003,0.360370583,160.7571,109.623
Nowhere,Giant Sand,1991,0.39690522,198.1122,117.101
Still,BeBe Winans_ CeCe Winans,2009,0.467414301,241.26649,160.135
Take Me,Jean Grae,2003,0.504108255,216.05832,161.738
Heads Of Fire (Album Version),No Bragging Rights,2008,nan,201.45587,182.012
Deal With Him (Non Album Single Side Version),Archie Bell and The Drells,1969,0,166.37342,186.054
Elokuu,Egotrippi,1997,0.270775999,258.5073,140.129
Natural Born Lover,Sharon Jones & The Dap-Kings,2005,0.610846628,184.81587,100.211
Die Bouzouki klang durch die Sommernacht,Vicky Leandros,1983,0.515963631,204.59057,88.876
"No"" to Catherine",Jan A.P. Kaczmarek,1997,0,85.15873,144.988
Ja humppa soi,Elakelaiset,2000,0.413752422,194.5073,173.167
Part 4 ­ Roller Coaster [Lyric Suite For Sextet],Chick Corea_ Gary Burton_ Ikwhan Bae_ Carol Shive_ Karen Dreyfus_ Fred Sherry,2000,0,88.47628,92.041
Sway (Live Woodstock Session),The Kooks,2008,0.450762242,241.76281,148.965
Stealing Notes From The Devil's Notebook,Hell On Wheels,2006,0,287.65995,124.201
Birdland,The String Cheese Incident,2000,0.454192988,771.02975,153.504
Suddenly The Trees Are Giving Way,Ulrich Schnauss,2005,0.593795114,383.92118,99.893
Burning Down The House (Live) (1999 Digital Remaster),Talking Heads,1984,0.327736683,246.282,109.69
Mjesto Za Dvoje,Letu Stuke,2005,0.588605369,278.83057,83.337
Birth,Peter Horrevorts,2008,0,513.85424,124.984
Selvagem,Os Paralamas Do Sucesso,1986,nan,148.50567,185.067
Flights of Fantasy,Ananda Shankar,1984,0.266955186,203.36281,132.864
Special Delivery,Brian Tyler,2007,0.569350931,151.69261,124.498
Its Goin Down feat. Stone,Prince Po,2004,nan,179.40853,88.072
Three Way,City High,2001,0.503381236,210.33751,95.484
Got To Get (Your Eyes),Archie Bronson Outfit,2006,0.569505199,194.7424,90.17
Toy soldier,I:Scintilla,2007,0.693634589,232.82893,108.973
Coming On Strong,Dive,1994,0,437.02812,115.995
Up On The Hill (Explicit),Fun Lovin' Criminals,1998,0.247864856,267.75465,80.687
Old Age of Wonders,Rhapsody of Fire,2006,nan,275.01669,51.303
Rhythm Of Love,The Strangeloves,1965,0.334706549,137.16853,107.208
Greed,Meshuggah,1991,0.567656587,426.39628,110.056
Teenage Pacifier,Mustasch,2002,0.599983284,248.5024,123.852
Heart It Races,Architecture In Helsinki,2007,0.833307209,174.21016,200.094
In The Line of Fire,Frank Klepacki,1996,0.507489844,122.5922,140.039
Weekend Cowhead - Original,The Ethiopians,1970,nan,158.74567,142.7
The Birds Are Leaving,Boo Hewerdine,1999,nan,196.33587,78.197
What Part Of Free Diamonds Don't You Understand?,Free Diamonds,2006,nan,71.96689,168.469
Downed (2002_ Unreleased),Armchair Martian,2007,0.212045405,207.01995,151.339
The Arson,Hand To Hand,2005,0.513213954,200.64608,94.522
Solo El Fin (For All We Know),Astrud Gilberto with Stanley Turrentine,1971,0.558933087,194.79465,134.689
Next Best Superstar,Melanie C,2005,0.319565987,184.29342,117.003
Brainwaves (album version),Puressence,2007,0.578193048,254.24934,173.861
Nem Me Lembro Mais,Detonautas,2008,0.561286132,289.59302,85.034
Sowing The Seeds Of Love (live Parc Des Princes),Tears For Fears,2006,nan,411.01016,86.054
I Can Play That Rock & Roll,Joe Walsh,1995,0.38293509,183.24853,117.797
Dr. Kitch,Lord Kitchener,2002,0.506270994,237.94893,155.711
Out Of Routine,Idlewild,2002,0.749784771,189.88363,180.527
Wonderwall,Ryan Adams,2003,0.788912742,248.5024,155.788
Angela's Secret,These Arms Are Snakes,2004,0.622164588,214.62159,101.843
Love Me For Me (Album Version),Ashley Tisdale,2007,0.638297906,225.07057,129.97
Save Me,The Main Ingredient featuring Cuba Gooding,1981,nan,258.97751,104.363
The Past Is A Different Country_ I Don't Live There Anymore,Jonas Hellborg,1993,0.377531645,527.90812,80.27
Ostrich Feathers and Apple Pie,Lye By Mistake,2006,0.471971172,284.73424,92.049
Hey Jealousy,Hit The Lights,2006,0.797887714,178.28526,169.925
It Was Love,Don Carlos & Gold,1983,nan,215.71873,144.403
Changing,John Ottman,2005,nan,167.8624,60.22
Murder the Disturbed,Circle Jerks,1982,0.707253603,123.402,103.497
Boombox,Asamov,2005,0.299877488,228.80608,91.257
I Need You,Tye Tribbett & G.A.,2008,0.587954991,336.09098,154.768
Waters Of March,Cassandra Wilson,2002,0.693903327,266.47465,139.215
Mother (Arabic),Sami Yusuf,2005,nan,277.18485,161.992
Best Friend (LP Version),Tweet/Bilal,2002,nan,308.89751,127.896
Ohne dich,Nathalie Tineo,2006,nan,216.24118,119.939
I Need Drugs,Some Girls,2005,0.714675161,62.01424,99.75
Young Man_ Old Soul (live),Spiritual Beggars,2005,0.401486711,201.82159,189.358
My Love Is Real,Buddy Guy,1992,0.499098881,157.83138,86.292
June and the Ocean,Junction 18,2003,0.484081639,228.72771,206.435
The Last One Standing,Christine Fellows,2002,0,74.63138,0
Just To Get High (Album Version),Nickelback,2008,0.773215397,242.07628,141.968
Mr.Cowboy,Caramell,1999,nan,181.49832,140.073
Straight Line,The Northern Pikes,1992,nan,381.49179,119.035
Rain Dance,Fat Jon,2001,0.39690522,456.12363,97.999
And It's Alright,Peter Broderick,2008,nan,316.39465,149.421
Body And Soul,Joe ManeriQuartet,1995,nan,495.82975,78.346
Missing Fingers,Reuben,2004,nan,240.56118,174.242
Glue Accident,Chaotic Dischord,1994,nan,159.16363,188.93
The Old Country Church,Oak Ridge Boys,1990,0.487492443,176.90077,121.747
Mi Princesa,Gondwana,2004,0.57216279,262.5824,173.128
Raw Fish,MU330,2002,0.682230871,93.90975,94.467
Killing Me (Unplugged),Janez Detd,2005,nan,181.89016,159.736
Wrong Em Boyo,Buck-O-Nine,1995,0.542898743,153.99138,99.905
Celestial,The Telescopes,1991,0.323112121,555.28444,109.401
No More,Lorez Alexandria,1965,nan,185.80853,168.013
Soul Destroyer,The Scaramanga Six,2004,nan,263.81016,109.651
The King And The God,Winterborn,2006,0.449727729,428.042,160.11
The Breaking Point,Bobby Darin,2007,0.215080319,210.49424,81.824
Breathe,I Was A King,2009,0.447784051,92.23791,128.76
Sycophant,Turn Pale,2003,0.299877488,216.42404,144.122
Cesspools In Eden,Dead Kennedys,1986,0.734665234,356.46649,140.656
You Die,Hymie's Basement,2003,nan,242.07628,184.674
La Comparsa,Bebo Valdes,2006,nan,201.37751,90.16
Never Know Love,Johnny Gill,1990,0.54225631,267.49342,110.081
No Necesito,Aterciopelados,1997,0.671706167,223.37261,95.072
I Can't Give You Anything But Love,Marlene Dietrich,1990,0.340922756,131.23873,122.368
To Russia With Love,Candie Hank,2006,0.401486711,246.09914,130.007
Side Of A Bullet (Album Version),Nickelback,2005,0.254140522,180.55791,133.009
Saving Grace,The Cranberries,1999,0.644013266,192.31302,148.047
House of Bones,Mr. Airplane Man,2001,0,155.08853,131.325
Going Under,Patti Smith,1988,0.615372256,360.54159,81.486
Daddy's Girl,Psychopomps,1993,nan,463.38567,105.718
I'm Buried Alive,Attack Formation,2005,nan,196.07465,160.837
Albor (Bonus!_ Dortmund_ Germany_ 2005),Theodor Bastard,2006,0.419125893,614.16444,143.342
In Kupplung Minidursten,General Magic,2000,0,113.57995,90.091
SOS,Rihanna,2006,nan,517.45914,127.995
It Keeps Right On A-Hurtin',Boots Randolph,1963,0.375984302,145.76281,103.788
Escape,The Toxic Avenger,2007,0.748062109,367.93424,123.917
Wait For God,Tricky,2003,nan,244.27057,92.883
Thots,Otep,2002,0.567656587,249.41669,68.688
El Amor,Azucar Moreno,1994,nan,454.16444,98.315
Caruso,La Buena Vida,1997,0.42116132,151.06567,147.115
Irritaint,Skerik's Syncopated Taint Septet,2006,nan,330.78812,99.161
The Soviet Face,Old Jerusalem,2009,0,339.01669,96.878
Telescope,Septic Flesh,1999,0.524822258,258.61179,144.124
Switch (Twitch),Fluke,2003,0.427582886,675.05587,114.578
Groundzero (Clubzero Mix),Aghast View,1999,0,378.77506,132.437
Payaso,Falete,2004,0.340922756,208.50893,84.803
J.O.B.,Richie Stephens,2000,0,218.20036,85.021
Here Before,Fever Ray,2009,0.532482708,224.07791,115.25
Spookshow Baby,Rob Zombie,1998,0.582698987,275.35628,83.675
Winter Wonderland,Billy Idol,2006,0.671688343,140.12036,125.921
Unsaid Goodbyes (Get Real Album Version),Halo Friendlies,2002,0.19066385,191.242,86.617
Bad In Plaid,Mighty Mighty Bosstones,1992,0.490904201,124.96934,135.316
Dark Advances,Male,2008,nan,208.3522,74.254
Pledging My Love,Johnny Ace,1955,nan,147.9571,43.495
Ugly Girls,Kalle Baah,1992,0.567656587,273.76281,165.954
Velvet Blues,Avril,2002,0.413739836,221.72689,97.677
It Wouldn't Have Made Any Difference,Todd Rundgren,1972,nan,260.88444,204.972
Milonga Sentimental,Maria Dolores Pradera,1992,0.306699165,181.36771,87.255
The Debt Collector,Blur,1994,0.764088679,130.95138,92.894
Madeleine,Francis Cabrel,1988,0.427582886,209.73669,148.07
The Coach House,Magic Arm,2009,0.377531645,188.78649,85.08
Baby You're All I Want,Blackstreet,2003,0.323112121,235.91138,75.126
Big City Lights (Album Version),Black Stone Cherry,2007,0.830677061,261.79873,116.108
Christmas Through Your Eyes,Gloria Estefan,1992,nan,294.97424,148.136
She Called Me Kansas,Aaron Lines,2003,0.265861049,219.402,101.059
Strictly Jive,Chick Webb And His Orchestra,1990,nan,204.43383,167.786
I Wanna Dancer,Faze Action,2009,nan,380.23791,120.981
Army of Me,Björk,1995,nan,234.23955,86.05
Kozel,Oren Ambarchi,2002,0.215080319,365.92281,78.671
Juno,Life Without Buildings,2000,0.542237825,325.74649,142.435
Up And Running,Vangelis,2007,0.669413098,188.65587,141.122
Time Tunnel,Ceephax,2007,0,353.59302,166.025
Earth Angel (Will You Be Mine),The Penguins,1991,nan,177.10975,110.566
Sizzle,Shur-I-Kan,2001,0,278.69995,125.047
Purpose,Cloud Cult,2007,0.563755208,227.68281,93.868
DX Serve,Neil Landstrumm,1995,0,237.16526,138.06
Ahaha,Dreams Come True,1998,0.249065795,252.49914,106.912
Number One,Ohrbooten,2007,0.517148973,230.08608,164.832
King Of Straw,Slapp Happy,1998,nan,197.01506,121.703
Haven't Met You Yet (Album Version),Michael Bublé,2010,nan,243.19955,122.313
Estranged,Guns N' Roses,1991,0.510157365,591.96036,95.511
Okna dvere,Para,2007,nan,194.87302,140.072
Babylon (Album Version),Skindred,2002,0.215080319,214.36036,101.763
V_V_V.,Hess Is More,2006,0,99.34322,59.988
Wren,Her Name Is Calla,2008,0.613196447,321.12281,109.833
Bethnahrin,Familjen,2010,0,190.06649,64.714
Down By The River,Roy Buchanan,1993,0.494489518,556.85179,113.007
Portland Woman,New Riders of The Purple Sage,1971,nan,321.4624,116.317
Knockin' On Heaven's Door,Avril Lavigne,2003,nan,188.18567,129.936
Just One Second (Apex Remix),London Elektricity,2009,0.806721783,377.83465,172.959
Set It Off (Superdense'Child Remix),Resin Dogs,2002,nan,247.58812,128.213
Take Ya Money,Bashy,2008,0.246865094,87.14404,172.065
Holiday,Patrick Jumpen,2007,nan,208.87465,148.967
